1,como,as,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/07bb7c45834b44698af03256305c6e0b.mp3
2,I,I,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/f716dd091f0693b9e8d8581e7d551766.mp3
3,su,his,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/7059707e67eb080d7899d6eb367cfa67.mp3
4,que,that,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/fddd78eeb626538449ffacca62e69fe6.mp3
5,él,he,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/0f711bc562c1086e601cd7b62d65f781.mp3
6,era,was,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/ee00ce4a15eab157b58b0eab6bcf18f9.mp3
7,para,for,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/c65ec2cf42d3192f31c96fdb5e146e58.mp3
8,en,on,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/4b71105838fd515ce4bc93660bae4a7c.mp3
9,son,are,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/7881e9d0acb7ce2909e2b105d1ec5fe1.mp3
10,con,with,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/625e43cc95a0e0f693a73b237593de89.mp3
11,ellos,they,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/7bf2802105c70aa36d9db9df1a684fde.mp3
12,ser,be,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/075d59518d7519e928cb3da653c86a6c.mp3
13,en,at,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/4b71105838fd515ce4bc93660bae4a7c.mp3
14,uno,one,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/571c3fbca7cfc337275909b6aba5407b.mp3
15,tener,have,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/5b6c4be6095aecb4dcbb738d76a6cea9.mp3
16,este,this,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/26fd6446adad8e3bd874dc5b98134be5.mp3
17,desde,from,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/0d261ba30a6b42deb853e202672c57dd.mp3
18,por,by,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/7de21395e6238df076efd065016d2a47.mp3
19,caliente,hot,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/4565cf5f42df603362169c2a6aae2249.mp3
20,palabra,word,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/36220058bbde79b65baf22298e957211.mp3
21,pero,but,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/ad65aa12837e8ee9e4cd28012cc3e5c7.mp3
22,qué,what,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/fddd78eeb626538449ffacca62e69fe6.mp3
23,algunos,some,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/05578a65c545598d10622c3fae69ec9f.mp3
24,es,is,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/967ccb671030b42d1044a3cd5cd3eaef.mp3
25,lo,it,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/821f7b516ae71177fcecc72ad9c46dd2.mp3
26,usted,you,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/d00e7dcf65d922085fa54383b51e9665.mp3
27,o,or,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/d3bbe123b6b7afec6a9e0d1df17eccc7.mp3
28,tenido,had,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/2c967450c383bdf34cd73c9feae3eff0.mp3
29,la,the,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/fb8701193ba80396cbb1c0503aee7ce9.mp3
30,de,of,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/14b23603328e99929dd768900b55a40a.mp3
31,a,to,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/dfd69cca36c68c76bb0b08206adbb00c.mp3
32,y,and,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/fedec3d695b6233b1edfdb5796863e52.mp3
33,un,a,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/80a2699191b9600270dbfbb50bad3bcf.mp3
34,en,in,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/4b71105838fd515ce4bc93660bae4a7c.mp3
35,nos,we,https://goforbroca.s3-us-west-2.amazonaws.com/es-ES/0769936f92503cf6bde94f5eea9edfa8.mp3
